RERUN_SET,TIME,TRW,DVS,RDD,TMIN,TMAX,NFLV,LESTRS,LRSTRS,LDSTRS,PCEW,NSP,LAI,WAGT,WST,WLVG,WLVD,WSO,WRR14,WRT,ZRT,NSLLV,RNSTRS,NUPP,ANCR,ANLV,ANLD,ANST,ANSO,ANRT,NMAXL,NMINL,FNLV,ROOTN,ROOTC,SNH4,SNO3,WL0,ZW,IR,IRCUM2,RAINCUM2,RUNOFCUM2,EVSW,EVSWCUM2,TRWCUM2,GWTOT,CAPTOT,WLFLOUT,N2O,NH3,LEACHED,MINERALIZED,FERTILIZER,CO2RELEASED,SOC,SON,YEAR,DOY,CROPSTA,ETD,TRC,EVSC,RAIN,RAINCU
1,1.0,0.0,0.0,16636300.0,24.0,30.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0165,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.025,0.025,0.0,0.0,19.01,6.4898,10.0,0.0,0.0,0.0,0.0,0.0,8.4013,0.0,0.0,0.0,0.0,1.7987,0.0256593,0.0857335,0.0,0.22129,0.0,2.6555,39622.0,2153.3,2017.0,1.0,1.0,8.4013,0.0,8.4013,0.2,0.0
1,2.0,0.14253,0.012464,15195900.0,25.0,30.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0191647,0.79347,0.31739,0.47608,0.0,0.0,0.0,0.79347,0.1,1.0,1.0,0.0932801,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.024838,0.025,0.0210271,0.79347,19.083,6.4336,0.0,0.0,0.0,0.0,0.2,0.0,8.8219,8.4013,0.0,0.0,0.0,1.8755,0.0287019,0.11625,0.0,0.27264,0.0,3.2704,39619.0,2153.0,2017.0,2.0,4.0,8.9069,0.14253,8.8219,8.5,0.2
1,3.0,0.15914,0.025256,15205500.0,25.0,30.0,1.1778,0.87377,1.0,1.0,1.0,0.0,0.0223413,1.6968,0.6787,1.0181,0.0,0.0,0.0,1.6709,0.1,1.0,1.0,0.0948666,0.0932801,0.0539567,0.0,0.0160706,0.0,0.0232529,0.053,0.0246717,0.053,0.04428,1.6709,19.174,6.3752,0.0,0.0,0.0,0.0,8.7,0.0,2.1092,17.223,0.14253,0.0,0.0,1.8755,0.0206241,0.13757,0.0,0.46402,0.0,5.5686,39613.0,2152.6,2017.0,3.0,4.0,8.5819,0.15914,8.4866,0.0,8.7
1,4.0,0.19379,0.038048,13609400.0,25.0,29.0,1.1778,0.71915,1.0,1.0,1.0,0.0,0.0255769,3.1209,1.2484,1.8725,0.0,0.0,0.0,3.0138,0.1,1.0,1.0,0.10402,0.18815,0.0992448,0.0,0.0300624,0.0,0.0588396,0.053,0.0245054,0.053,0.0798666,3.0138,19.299,6.4518,0.0,0.0,0.0,0.0,8.7,0.0,8.7728,19.332,0.30167,0.0,0.0,1.8755,0.00842225,0.14606,0.0,0.7476,0.0,8.9707,39604.0,2151.8,2017.0,4.0,4.0,8.8857,0.19379,8.7728,12.3,8.7
1,5.0,0.23487,0.050512,16679800.0,24.0,30.0,1.1778,0.72418,1.0,1.0,1.0,0.0,0.0285475,4.6859,1.8744,2.8116,0.0,0.0,0.0,4.4462,0.1,1.0,1.0,0.12673,0.29216,0.14901,0.0,0.0463529,0.0,0.0967983,0.053,0.0243433,0.053,0.11783,4.4462,19.469,6.7489,0.0,0.0,0.0,0.0,21.0,0.0,1.5496,28.105,0.49546,0.0,0.0,1.8755,0.0113822,0.15095,0.0,0.68908,0.0,8.2684,39596.0,2151.1,2017.0,5.0,4.0,9.7773,0.23487,9.6387,0.0,21.0
1,6.0,0.29591,0.062976,13629100.0,25.0,29.0,1.1778,0.64783,1.0,1.0,1.0,0.0,0.0318862,6.619,2.6476,3.9714,0.0,0.0,0.0,6.1648,0.1,1.0,1.0,0.12925,0.41889,0.21048,0.0,0.0660634,0.0,0.14234,0.053,0.0241813,0.053,0.16337,6.1648,19.618,6.9966,0.0,0.0,0.0,0.0,21.0,0.0,10.431,29.655,0.73033,0.0,0.0,1.8755,0.00868396,0.15172,0.0,0.73786,0.0,8.8547,39587.0,2150.4,2017.0,6.0,4.0,10.599,0.29591,10.431,17.0,21.0
1,7.0,0.32866,0.07544,15249700.0,25.0,30.0,1.1778,0.75917,1.0,1.0,1.0,0.0,0.0352223,8.6003,3.4401,5.1602,0.0,0.0,0.0,7.8758,0.1,1.0,1.0,0.14908,0.54814,0.27349,0.0,0.0869632,0.0,0.18768,0.053,0.0240193,0.053,0.20871,7.8758,19.736,7.3077,0.0,0.0,0.0,0.0,38.0,0.0,10.625,40.086,1.0262,0.0,0.0,1.8755,0.0162347,0.15694,0.0,0.63319,0.0,7.5986,39579.0,2149.8,2017.0,7.0,4.0,10.814,0.32866,10.625,14.4,38.0
1,8.0,0.39584,0.088232,15262000.0,25.0,30.0,1.1778,0.84756,1.0,1.0,1.0,0.0,0.0396544,10.918,4.3673,6.5509,0.0,0.0,0.0,9.8198,0.1,1.0,1.0,0.16782,0.69722,0.3472,0.0,0.11082,0.0,0.2392,0.053,0.023853,0.053,0.26023,9.8198,19.82,7.5159,0.0,0.0,30.0,0.0,52.4,0.0,11.244,50.711,1.3549,0.0,0.0,1.8755,0.0239001,0.36962,0.0,0.50652,60.0,6.0779,39573.0,2149.3,2017.0,8.0,4.0,11.47,0.39584,11.244,0.0,52.4
1,9.0,0.45323,0.10102,15274900.0,25.0,30.0,1.1778,1.0,1.0,1.0,1.0,0.0,0.0452252,13.552,5.4209,8.1313,0.0,0.0,0.0,11.964,0.1,1.0,1.0,0.19129,0.86503,0.43096,0.0,0.13807,0.0,0.29601,0.053,0.0236867,0.053,0.31703,11.964,34.736,8.0742,13.766,0.0,30.0,30.0,52.4,0.0,11.427,61.956,1.7507,0.0,0.0,3.0,0.0305006,0.4688,0.0,0.29764,0.0,3.5712,39570.0,2149.0,2017.0,9.0,4.0,11.688,0.45323,11.427,0.0,52.4
1,10.0,0.41892,0.11382,15288300.0,25.0,30.0,1.1778,1.0,1.0,1.0,1.0,0.0,0.0527212,16.586,6.6345,9.9517,0.0,0.0,0.0,14.36,0.1,1.0,1.0,0.22305,1.0563,0.52744,0.0,0.16938,0.0,0.35951,0.053,0.0235204,0.053,0.38053,14.36,42.701,8.03,28.886,0.0,0.0,60.0,52.4,0.0,9.3741,73.382,2.204,0.0,0.0,3.0,0.0277916,0.53409,0.0,0.29668,0.0,3.5599,39566.0,2148.7,2017.0,10.0,4.0,9.6245,0.41892,9.3741,0.0,52.4
