RERUN_SET,TIME,DVS,TMIN,TMAX,LAI,WL0,IR,N2O,NH3,LEACHED,CO2RELEASED,SOC,SON,DOY,CROPSTA,RAIN
1,300.0,0.0,27.0,31.0,0.0165,10.0,50.0,0.2601,1.1269,0.0,10.911,142162.0,6739.5,300.0,1.0,4.7
1,301.0,0.0133767,27.0,32.0,0.0191916,49.211,0.0,0.24747,1.099,0.0,10.595,142151.0,6738.6,301.0,4.0,15.5
1,302.0,0.026436,27.0,32.0,0.0222481,48.822,0.0,0.21561,0.87507,0.0,9.8056,142141.0,6737.8,302.0,4.0,0.0
1,303.0,0.0394953,27.0,32.0,0.0257913,33.022,0.0,0.20175,0.81064,0.0,10.084,142131.0,6736.9,303.0,4.0,0.0
1,304.0,0.0525546,27.0,32.0,0.0298989,18.645,50.0,0.19027,0.84491,0.0,10.577,142120.0,6736.1,304.0,4.0,4.6
1,305.0,0.065614,28.0,31.0,0.0346606,56.863,0.0,0.17598,0.86338,0.0,10.799,142110.0,6735.2,305.0,4.0,58.0
1,306.0,0.0792442,27.0,31.0,0.0404219,85.0,0.0,0.15973,0.83524,0.0,10.736,142099.0,6734.3,306.0,4.0,15.0
1,307.0,0.0926209,28.0,32.0,0.047016,85.0,0.0,0.14739,1.331,0.0,10.938,142088.0,6733.4,307.0,4.0,4.8
1,308.0,0.10588,27.0,31.0,0.0546162,75.302,0.0,0.13461,1.4911,0.0,10.917,142077.0,6732.5,308.0,4.0,47.1
1,309.0,0.11925,27.0,31.0,0.0635258,85.0,0.0,0.12271,1.4877,0.0,10.853,142066.0,6731.5,309.0,4.0,21.6
1,310.0,0.13263,27.0,30.0,0.0738888,85.0,0.0,0.11184,1.4371,0.0,10.761,142055.0,6730.7,310.0,4.0,105.0
1,311.0,0.14608,27.0,31.0,0.0860065,85.0,0.0,0.10255,1.382,0.0,10.795,142045.0,6729.8,311.0,4.0,53.3
1,312.0,0.15945,27.0,31.0,0.10004,85.0,0.0,0.0946371,1.3588,0.00245748,10.902,142034.0,6728.8,312.0,4.0,24.7
1,313.0,0.17283,27.0,31.0,0.11636,85.0,0.0,0.0870918,1.3222,0.00521194,10.964,142023.0,6727.9,313.0,4.0,5.7
1,314.0,0.18621,27.0,32.0,0.13534,75.86,0.0,0.0804952,1.2994,0.0081575,11.13,142012.0,6727.0,314.0,4.0,0.0
1,315.0,0.19927,28.0,32.0,0.15689,60.395,0.0,0.074949,1.3115,0.011279,11.401,142000.0,6726.1,315.0,4.0,0.3
1,316.0,0.21252,27.0,31.0,0.18225,44.981,0.0,0.06743,1.219,0.0145608,10.891,141989.0,6725.1,316.0,4.0,22.2
1,317.0,0.2259,27.0,31.0,0.21198,51.805,0.0,0.0590775,1.022,0.0179874,9.9095,141979.0,6724.3,317.0,4.0,72.2
1,318.0,0.23928,27.0,31.0,0.24656,85.0,0.0,0.0547153,0.95699,0.0215436,10.444,141969.0,6723.4,318.0,4.0,32.9
1,319.0,0.25265,27.0,32.0,0.28679,85.0,0.0,0.0518694,1.0108,0.0252139,11.042,141958.0,6722.5,319.0,4.0,21.8
1,320.0,0.26571,27.0,32.0,0.33246,85.0,0.0,0.0484183,1.0281,0.0289834,11.311,141947.0,6721.6,320.0,4.0,0.0
1,321.0,0.27877,27.0,32.0,0.38541,70.71,0.0,0.044801,1.0187,0.0328373,11.443,141935.0,6720.6,321.0,4.0,2.1
1,322.0,0.29183,27.0,31.0,0.44679,58.253,0.0,0.0411701,0.99153,0.0367609,11.441,141924.0,6719.7,322.0,4.0,33.2
1,323.0,0.30521,27.0,32.0,0.51967,76.535,0.0,0.0376801,0.94675,0.0407398,11.51,141912.0,6718.7,323.0,4.0,0.0
1,324.0,0.31827,27.0,32.0,0.60244,56.122,0.0,0.0305394,0.91272,0.0447596,11.622,141901.0,6717.8,324.0,4.0,0.0
1,325.0,0.33133,27.0,32.0,0.69838,37.679,0.0,0.0275864,1.5815,0.0488059,11.439,141889.0,6716.8,325.0,4.0,4.4
1,326.0,0.34439,27.0,31.0,0.8096,24.916,0.0,0.0253707,1.732,0.0528646,11.393,141878.0,6715.8,326.0,4.0,29.6
1,327.0,0.35776,27.0,32.0,0.94167,36.13,0.0,0.0234062,1.694,0.0569213,11.329,141866.0,6714.9,327.0,4.0,0.0
1,328.0,0.37082,27.0,31.0,1.0916,15.845,0.0,0.0216095,1.6164,0.0609621,11.432,141855.0,6714.0,328.0,4.0,24.1
1,329.0,0.3842,27.0,31.0,1.2289,25.869,0.0,0.019909,1.4946,0.0649729,11.422,141844.0,6713.0,329.0,4.0,9.3
1,330.0,0.39757,27.0,31.0,1.3903,18.484,0.0,0.0182342,1.3548,0.0689401,11.457,141832.0,6712.0,330.0,4.0,38.7
1,331.0,0.41095,26.0,31.0,1.5727,39.278,0.0,0.016509,1.1708,0.0728502,11.139,141821.0,6711.1,331.0,4.0,0.0
1,332.0,0.42606,27.0,31.0,1.7922,18.744,0.0,0.0150659,1.0283,0.0766904,11.254,141810.0,6710.2,332.0,4.0,4.2
1,333.0,0.44151,27.0,32.0,2.0154,0.0,0.0,0.0114408,0.92882,0.0275654,11.559,141798.0,6709.2,333.0,4.0,0.9
