RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,DAE
1,7773.5,14294.0,894.8,700.0,140410.0,6593.1,96.0
2,6770.9,12195.0,686.39,950.0,138950.0,6434.5,97.0
3,7092.3,13258.0,1671.1,250.0,137270.0,6330.8,97.0
4,6343.6,11594.0,1357.5,400.0,135690.0,6198.2,94.0
5,7292.2,14485.0,743.99,550.0,134320.0,6083.3,100.0
6,6146.3,12463.0,684.59,650.0,132710.0,5948.1,96.0
7,7244.2,13475.0,504.2,750.0,131280.0,5828.4,96.0
8,6489.2,11794.0,680.6,800.0,129640.0,5690.6,96.0
9,7513.6,14952.0,261.3,800.0,128170.0,5567.6,101.0
10,6640.8,12439.0,557.79,800.0,126660.0,5440.9,96.0
