RUNNUM,ETDCUM,EVSCCUM,TRCCUM,WRR14,WSO,WAGT,PARCUM,TS,TMAXC,TMINC,TAVERC,DAYSFL,SF1,SF2,SPFERT,ANCR,RAINCUM,IRCUM,RUNOFCUM,TRWCUM,EVSWCUM,DRAICUM,CAPTOTCUM,DSWC,SOC,SON,FERCUM,EMD,DAE
1,1026.8,349.39,1253.7,4914.5,6388.1,14386.0,533.02,1906.2,3172.0,2534.5,2853.2,76.0,0.954,0.941,0.941,185.06,34.9,1380.0,0.0,926.0,314.81,263.46,0.0,-79.37,39152.0,2114.1,180.0,1.0,99.0
2,1022.8,373.19,1220.4,4154.3,5627.2,12409.0,509.92,1906.2,3172.0,2534.5,2853.2,76.0,0.954,0.941,0.941,183.54,34.9,1170.0,0.0,792.07,295.09,209.77,0.0,-82.04,38939.0,2096.4,180.0,1.0,99.0
