RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        5340.7       10835.       167.40       1300.0      0.14136E+06   6655.4       51.470       98.000    
     2        4302.1       8023.9       323.00       1350.0      0.14057E+06   6567.3       43.400       97.000    
     3        3551.2       6888.5       158.90       1300.0      0.13967E+06   6479.0       78.410       100.00    
     4        4219.3       7889.4       202.60       1350.0      0.13881E+06   6388.8       42.880       97.000    
     5        3600.0       6868.0       319.19       1150.0      0.13792E+06   6301.6       30.290       99.000    
     6        3632.9       7086.2       297.09       1200.0      0.13707E+06   6216.2       33.610       98.000    
     7        3538.0       6718.1       271.29       1150.0      0.13624E+06   6133.0       24.560       98.000    
     8        4200.9       7618.0       365.40       1200.0      0.13532E+06   6041.0       48.010       98.000    
     9        3456.9       6194.0       397.20       1000.0      0.13449E+06   5961.0       24.780       98.000    
    10        3231.4       6814.0       516.79       1050.0      0.13379E+06   5884.5       46.290       97.000    
    11        3310.7       5714.5       262.10       1450.0      0.13303E+06   5808.7       99.160       98.000    
    12        3342.8       6363.3       346.10       1250.0      0.13225E+06   5730.4       41.170       97.000    
    13        3530.3       5424.9       409.10       1000.0      0.13156E+06   5662.3       34.870       99.000    
    14        3296.0       6113.9       321.90       1350.0      0.13088E+06   5589.4       45.240       97.000    
    15        2934.3       5096.1       189.70       1150.0      0.13021E+06   5523.9       73.840       99.000    
    16        3425.2       6608.3       427.79       1250.0      0.12951E+06   5450.5       44.900       97.000    
    17        2785.2       5392.5       59.500       1350.0      0.12889E+06   5386.0       22.640       97.000    
    18        3375.6       6203.0       283.10       1350.0      0.12816E+06   5313.2       39.150       98.000    
    19        2634.8       5284.1       294.30       1200.0      0.12748E+06   5244.3       32.380       101.00    
    20        3323.0       6071.3       564.50       1150.0      0.12687E+06   5179.2       38.510       96.000    
    21        2884.6       5555.2       193.99       1200.0      0.12620E+06   5111.8       26.200       98.000    
    22        3298.2       6072.5       481.20       1100.0      0.12549E+06   5041.0       38.420       99.000    
    23        3033.0       5109.1       114.89       1300.0      0.12488E+06   4979.9       37.080       98.000    
    24        2732.4       5319.3       300.59       1250.0      0.12434E+06   4921.6       29.680       96.000    
    25        2732.3       5089.4       384.79       1050.0      0.12368E+06   4857.6       24.550       98.000    
    26        2759.0       5114.7       338.59       1150.0      0.12308E+06   4797.3       31.470       98.000    
    27        2657.1       4893.5       213.49       1250.0      0.12249E+06   4737.8       19.280       98.000    
    28        2742.8       4878.8       749.80       1050.0      0.12194E+06   4679.8       36.410       97.000    
    29        2255.4       4237.0       291.90       1150.0      0.12142E+06   4627.6       76.370       99.000    
    30        2349.7       4820.5       305.60       1450.0      0.12101E+06   4576.3       36.740       98.000    
    31        2190.8       4182.3       123.69       1300.0      0.12051E+06   4525.1       61.350       97.000    
    32        2476.5       4579.7       510.49       1050.0      0.12005E+06   4475.4       38.210       98.000    
    33        2129.7       4062.5       216.00       1150.0      0.11960E+06   4427.4       37.020       98.000    
    34        2448.5       4656.7       285.29       1550.0      0.11913E+06   4375.8       48.190       99.000    
    35        2003.6       3995.6       202.70       1200.0      0.11867E+06   4328.4       39.140       101.00    
    36        2236.3       4387.7       427.60       1150.0      0.11826E+06   4279.0       39.080       98.000    
    37        2041.8       3740.3       335.10       1050.0      0.11785E+06   4235.5       39.990       97.000    
    38        2143.3       4230.9       523.89       1350.0      0.11747E+06   4189.0       38.220       97.000    
    39        1843.7       3162.5       326.80       1150.0      0.11710E+06   4149.3       70.700       98.000    
    40        2149.3       4122.9       547.20       1200.0      0.11669E+06   4102.0       45.590       100.00    
    41        1895.3       3671.5       207.00       1250.0      0.11621E+06   4053.5       35.540       101.00    
    42        2122.5       4023.1       429.00       1050.0      0.11574E+06   4004.5       32.820       98.000    
    43        2275.2       3959.4       188.30       1250.0      0.11532E+06   3960.2       21.090       98.000    
    44        2140.4       3991.5       403.30       1250.0      0.11486E+06   3912.5       34.900       97.000    
    45        1764.1       3365.3       237.50       1100.0      0.11442E+06   3868.5       22.210       103.00    
    46        2012.3       4043.2       326.19       1250.0      0.11396E+06   3821.3       38.110       99.000    
    47        1868.4       3413.3       223.60       1350.0      0.11360E+06   3783.2       15.460       100.00    
    48        2137.7       3965.0       391.30       1400.0      0.11318E+06   3737.8       44.600       101.00    
