RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        6670.1       12102.       167.40       800.00      0.14076E+06   6613.8       8.7900       98.000    
     2        6097.0       10597.       323.00       750.00      0.13948E+06   6492.6       4.9500       97.000    
     3        5089.9       9064.7       158.90       700.00      0.13819E+06   6377.0       22.660       100.00    
     4        5750.1       10155.       202.60       700.00      0.13683E+06   6255.2      0.68000       97.000    
     5        4893.5       8868.9       319.19       700.00      0.13551E+06   6137.5       1.1400       99.000    
     6        4288.1       8442.2       297.09       600.00      0.13437E+06   6030.8       2.4500       98.000    
     7        4546.3       8455.7       271.29       700.00      0.13318E+06   5923.9      0.55000       98.000    
     8        5299.6       9415.7       365.40       550.00      0.13188E+06   5807.5       4.0800       98.000    
     9        4480.9       7682.4       397.20       650.00      0.13072E+06   5704.2       1.5900       98.000    
    10        4863.5       8459.2       516.79       600.00      0.12969E+06   5603.5       3.6300       97.000    
    11        4184.0       7466.9       262.10       800.00      0.12855E+06   5500.3       35.470       98.000    
    12        4077.1       7977.0       346.10       650.00      0.12760E+06   5408.2       8.0200       97.000    
    13        4312.8       6232.4       409.10       550.00      0.12655E+06   5315.6       2.2100       99.000    
    14        4510.4       7964.4       321.90       600.00      0.12548E+06   5218.8       2.3300       97.000    
    15        3999.0       7015.3       189.70       650.00      0.12449E+06   5129.4       3.6400       99.000    
    16        4257.0       8106.7       427.79       600.00      0.12355E+06   5040.8       1.5200       97.000    
    17        3710.6       6877.9       59.500       750.00      0.12263E+06   4957.2      0.62000       97.000    
    18        4140.0       7691.6       283.10       650.00      0.12166E+06   4867.5      0.45000       98.000    
    19        3472.0       6775.0       294.30       650.00      0.12074E+06   4783.6       2.8500       101.00    
    20        4159.2       7417.1       564.50       500.00      0.11985E+06   4702.3       4.4800       96.000    
    21        3669.5       6858.5       193.99       650.00      0.11895E+06   4620.4       1.7300       98.000    
    22        3631.3       6482.7       481.20       600.00      0.11814E+06   4546.4       4.3900       99.000    
    23        3582.1       6094.8       114.89       700.00      0.11734E+06   4474.7       2.9800       98.000    
    24        3329.3       6399.8       300.59       600.00      0.11659E+06   4405.3      0.45000       96.000    
    25        3003.4       5389.6       384.79       600.00      0.11584E+06   4338.3      0.88000       98.000    
    26        3192.4       6207.9       338.59       550.00      0.11507E+06   4266.6       1.6000       98.000    
    27        2788.0       5372.9       213.49       650.00      0.11439E+06   4203.0      0.29000       98.000    
    28        3235.4       5769.5       749.80       450.00      0.11370E+06   4137.1       1.5600       97.000    
    29        2849.6       5186.5       291.90       600.00      0.11299E+06   4073.2       4.0400       99.000    
    30        2663.4       5598.3       305.60       800.00      0.11243E+06   4014.2      0.84000       98.000    
    31        2559.0       4937.4       123.69       750.00      0.11179E+06   3955.3       10.790       97.000    
    32        2743.6       4923.1       510.49       500.00      0.11118E+06   3899.2       2.5200       98.000    
    33        2537.6       4761.4       216.00       650.00      0.11057E+06   3843.4       2.1300       98.000    
    34        3006.2       5797.9       285.29       800.00      0.10990E+06   3780.6      0.46000       99.000    
    35        2298.9       4787.0       202.70       700.00      0.10931E+06   3725.5       1.1300       101.00    
    36        2349.3       4701.5       427.60       550.00      0.10881E+06   3674.0       1.3800       98.000    
    37        2442.9       4428.7       335.10       550.00      0.10824E+06   3621.9       1.2000       97.000    
    38        2361.6       4846.7       523.89       600.00      0.10779E+06   3571.1      0.50000       97.000    
    39        2205.1       3730.2       326.80       600.00      0.10730E+06   3525.2       15.770       98.000    
    40        2239.1       4193.2       547.20       500.00      0.10679E+06   3476.6       2.8000       100.00    
    41        1891.3       3760.2       207.00       600.00      0.10628E+06   3429.1       1.1500       101.00    
    42        2065.0       4165.4       429.00       450.00      0.10576E+06   3379.5      0.68000       98.000    
    43        2412.1       4248.8       188.30       700.00      0.10525E+06   3332.2      0.14000       98.000    
    44        2240.4       4184.2       403.30       600.00      0.10474E+06   3284.5      0.39000       97.000    
    45        1801.3       3533.6       237.50       550.00      0.10427E+06   3240.5       1.0300       103.00    
    46        924.91       3141.0       326.19       550.00      0.10391E+06   3200.8      0.74000       96.000    
    47        1940.7       3725.3       223.60       750.00      0.10351E+06   3162.8       9.9200       100.00    
    48        2349.9       4328.8       391.30       600.00      0.10299E+06   3114.3       1.1700       101.00    
