RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          DAE        
     1        7463.8       13852.       894.80       650.00      0.14036E+06   6589.2       96.000    
     2        6429.2       11619.       686.39       850.00      0.13931E+06   6426.9       97.000    
     3        7222.3       13279.       1671.1       200.00      0.13711E+06   6316.6       97.000    
     4        6105.8       11312.       1357.5       350.00      0.13545E+06   6178.1       94.000    
     5        7355.3       14548.       743.99       550.00      0.13408E+06   6062.5       100.00    
     6        6037.4       12252.       684.59       550.00      0.13292E+06   5921.4       96.000    
     7        7253.7       13478.       504.20       700.00      0.13090E+06   5796.8       96.000    
     8        6367.4       11385.       680.60       700.00      0.12989E+06   5652.9       96.000    
     9        7743.1       15144.       261.30       800.00      0.12771E+06   5529.0       101.00    
    10        6763.6       12430.       557.79       750.00      0.12612E+06   5395.4       96.000    
