RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,DAE
1,7463.8,13852.0,894.8,650.0,140360.0,6589.2,96.0
2,6429.2,11619.0,686.39,850.0,139310.0,6426.9,97.0
3,7222.3,13279.0,1671.1,200.0,137110.0,6316.6,97.0
4,6105.8,11312.0,1357.5,350.0,135450.0,6178.1,94.0
5,7355.3,14548.0,743.99,550.0,134080.0,6062.5,100.0
6,6037.4,12252.0,684.59,550.0,132920.0,5921.4,96.0
7,7253.7,13478.0,504.2,700.0,130900.0,5796.8,96.0
8,6367.4,11385.0,680.6,700.0,129890.0,5652.9,96.0
9,7743.1,15144.0,261.3,800.0,127710.0,5529.0,101.0
10,6763.6,12430.0,557.79,750.0,126120.0,5395.4,96.0
