RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,DAE
1,6591.6,13060.0,894.8,1100.0,141050.0,6646.6,96.0
2,6079.7,11301.0,686.39,1250.0,139870.0,6548.1,97.0
3,6717.3,12972.0,1671.1,500.0,138650.0,6445.9,97.0
4,6153.9,11328.0,1357.5,700.0,137280.0,6331.3,94.0
5,6337.7,13072.0,743.99,800.0,136330.0,6251.7,100.0
6,5689.6,11650.0,684.59,950.0,135300.0,6165.9,96.0
7,6262.2,12116.0,504.2,1100.0,134380.0,6088.7,96.0
8,5701.5,10902.0,680.6,1150.0,133340.0,6001.3,96.0
9,6262.1,13155.0,261.3,1250.0,132480.0,5929.2,101.0
10,5768.4,11181.0,557.79,1150.0,131510.0,5848.7,96.0
