RERUN_SET,TIME,DVS,TMIN,TMAX,LAI,WL0,IR,N2O,NH3,LEACHED,CO2RELEASED,SOC,SON,DOY,CROPSTA,RAIN
1,300.0,0.0,32.0,36.0,0.0165,10.0,50.0,0.28433,1.3065,0.0,12.039,142160.0,6739.4,300.0,1.0,4.7
1,301.0,0.00962134,32.0,37.0,0.018436,41.625,0.0,0.28687,1.5575,0.0,12.675,142148.0,6738.3,301.0,4.0,15.5
1,302.0,0.0186413,32.0,37.0,0.020464,33.913,0.0,0.26344,1.4785,0.0,12.773,142135.0,6737.3,302.0,4.0,0.0
1,303.0,0.0276613,32.0,37.0,0.022715,11.479,50.0,0.24699,1.5022,0.0,13.171,142122.0,6736.2,303.0,4.0,0.0
1,304.0,0.0366814,32.0,37.0,0.0252137,41.607,0.0,0.21892,1.4312,0.0,12.949,142109.0,6735.1,304.0,4.0,4.6
1,305.0,0.0457014,33.0,36.0,0.0279872,23.3,0.0,0.20093,1.3634,0.0,13.061,142096.0,6734.0,305.0,4.0,58.0
1,306.0,0.0547214,32.0,36.0,0.0310657,61.137,0.0,0.18461,1.3599,0.0,13.218,142083.0,6732.9,306.0,4.0,15.0
1,307.0,0.0643427,33.0,37.0,0.0347108,56.39,0.0,0.17089,2.3898,0.0,13.479,142069.0,6731.8,307.0,4.0,4.8
1,308.0,0.0727614,32.0,36.0,0.0382744,41.239,0.0,0.15178,2.4617,0.0,13.147,142056.0,6730.7,308.0,4.0,47.1
1,309.0,0.0823827,32.0,36.0,0.0427653,71.061,0.0,0.13907,2.3999,0.0,13.218,142043.0,6729.6,309.0,4.0,21.6
1,310.0,0.092004,32.0,35.0,0.0477831,73.067,0.0,0.12801,2.374,0.0,13.323,142029.0,6728.5,310.0,4.0,105.0
1,311.0,0.10223,32.0,36.0,0.0537401,85.0,0.0,0.11756,2.2789,0.0,13.397,142016.0,6727.4,311.0,4.0,53.3
1,312.0,0.11185,32.0,36.0,0.0600456,85.0,0.0,0.1085,2.2225,0.00243285,13.526,142002.0,6726.2,312.0,4.0,24.7
1,313.0,0.12147,32.0,36.0,0.0670909,85.0,0.0,0.0998771,2.1471,0.00517942,13.602,141989.0,6725.1,313.0,4.0,5.7
1,314.0,0.13109,32.0,37.0,0.0749629,68.752,0.0,0.0924423,2.0986,0.00811528,13.763,141975.0,6724.0,314.0,4.0,0.0
1,315.0,0.14011,33.0,37.0,0.0832089,46.92,0.0,0.0833648,1.9495,0.011225,13.407,141962.0,6722.8,315.0,4.0,0.3
1,316.0,0.14853,32.0,36.0,0.0917517,25.228,0.0,0.0763907,1.8141,0.0144929,13.449,141948.0,6721.7,316.0,4.0,22.2
1,317.0,0.15815,32.0,36.0,0.10252,24.713,0.0,0.0713205,1.8169,0.0179031,13.664,141935.0,6720.6,317.0,4.0,72.2
1,318.0,0.16777,32.0,36.0,0.11455,75.17,0.0,0.0663425,1.7917,0.0214403,13.825,141921.0,6719.4,318.0,4.0,32.9
1,319.0,0.17739,32.0,37.0,0.12799,85.0,0.0,0.0618428,1.7694,0.025089,14.006,141907.0,6718.3,319.0,4.0,21.8
1,320.0,0.18641,32.0,37.0,0.14206,85.0,0.0,0.0576812,1.7568,0.0288341,14.16,141893.0,6717.1,320.0,4.0,0.0
1,321.0,0.19543,32.0,37.0,0.15769,65.633,0.0,0.0536668,1.7303,0.032661,14.258,141878.0,6715.9,321.0,4.0,2.1
1,322.0,0.20445,32.0,36.0,0.17504,47.823,0.0,0.0486345,1.6099,0.036555,13.755,141865.0,6714.7,322.0,4.0,33.2
1,323.0,0.21407,32.0,37.0,0.19558,59.518,0.0,0.0417435,1.4981,0.0405022,13.934,141851.0,6713.6,323.0,4.0,0.0
1,324.0,0.22309,32.0,37.0,0.21709,31.796,0.0,0.0376917,1.5173,0.0444887,14.146,141836.0,6712.4,324.0,4.0,0.0
