RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          DAE        
     1        5865.1       13494.       895.30       1300.0      0.13898E+06   6474.7       124.00    
     2        5222.5       10688.       1003.4       1650.0      0.13589E+06   6162.8       148.00    
     3        7328.3       12542.       1720.5       450.00      0.13389E+06   5990.5       110.00    
     4        4720.6       9994.4       1743.4       900.00      0.13033E+06   5748.0       140.00    
     5        7869.0       13780.       744.59       950.00      0.12836E+06   5582.7       108.00    
     6        3867.8       9561.6       906.59       1300.0      0.12539E+06   5333.5       139.00    
     7        6993.2       12629.       508.30       1200.0      0.12343E+06   5143.5       116.00    
     8        5102.5       9454.0       1120.5       1550.0      0.12077E+06   4904.5       147.00    
     9        5832.6       13326.       261.90       1250.0      0.11850E+06   4753.3       108.00    
    10        7438.4       13178.       871.79       1450.0      0.11625E+06   4563.5       134.00    
